rowType,excel_row_number,assigned_recordId,excel_group_row2,excel_column,json_fieldName,mapping_state,excel_value,json_mappedValue,decision,blank_match,extra_field_risk,row_record_match_ratio,pair_exact_match_count,pair_compared_field_count,metric,metric_value,notes
DETAIL,4,SSI-001,Subsection,Field,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Action,action,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Instructing Party Identifier,instructingParty.identifier,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Instructing Entity LEI,instructingParty.lei,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Instructing Party BIC,instructingParty.bic,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Proprietary Identification,instructingParty.proprietaryIdentification,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Proprietary Scheme Name,instructingParty.proprietarySchemeName,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Proprietary Issuer,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Beneficiary Entity LEI,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Beneficiary Entity Identification,beneficiary.entityIdentification,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,A/c at Depository,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,A/c at Depository ID,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Identifier 2,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Identification 2,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Identifier 3,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Identification 3,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Identifier 4,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
DETAIL,4,SSI-001,Subsection,Identification 4,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,1.0,17,17,,,
