rowType,excel_row_number,assigned_recordId,excel_group_row2,excel_column,json_fieldName,mapping_state,excel_value,json_mappedValue,decision,blank_match,extra_field_risk,row_record_match_ratio,pair_exact_match_count,pair_compared_field_count,metric,metric_value,notes
DETAIL,23,SSI-002,Subsection,Field,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Action,action,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Instructing Party Identifier,instructingParty.identifier,PRIMARY_FIELD,,BIC,MISMATCH,NO,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Instructing Entity LEI,instructingParty.lei,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Instructing Party BIC,instructingParty.bic,PRIMARY_FIELD,,ABOCCNBJ,MISMATCH,NO,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Proprietary Identification,instructingParty.proprietaryIdentification,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Proprietary Scheme Name,instructingParty.proprietarySchemeName,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Proprietary Issuer,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Beneficiary Entity LEI,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Beneficiary Entity Identification,beneficiary.entityIdentification,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,A/c at Depository,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,A/c at Depository ID,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identifier 2,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identification 2,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identifier 3,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identification 3,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identifier 4,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identification 4,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identifier 5,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Identification 5,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Effective Date Parameter,effectiveDate.parameter,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Effective Start Date,effectiveDate.start,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Effective End Date,effectiveDate.end,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Settlement Purpose,market.settlementPurpose,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Narrative,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Settlement Country,market.settlementCountry,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Classification Identifier,market.classificationIdentifier,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,CFI,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Alternate Classification Identification,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Alternate Scheme Name,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Alternate Issuer,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,ISIN,market.isin,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,Settlement Currency,market.settlementCurrency,PRIMARY_FIELD,USD,USD,MATCH,NO,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,PSAFE BIC,market.psafeBic,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Subsection,ISIN Country,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Depository,PSET Party Identifier - BIC,depository.psetBic,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 1,Party Identifier,party1.identifier,PRIMARY_FIELD,,BIC,MISMATCH,NO,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 1,BIC,party1.bic,PRIMARY_FIELD,PNBPUS3NNYC,MGTCBEBEECL,MISMATCH,NO,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 1,Proprietary Identification.1,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 1,Proprietary Scheme Name.1,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 1,Proprietary Issuer.1,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 1,Account Identification,party1.accountIdentification,PRIMARY_FIELD,2000191185434,23861-For Corporate Bond(US),MISMATCH,NO,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 1,Account Name,party1.accountName,PRIMARY_FIELD,,EUROCLEAR,MISMATCH,NO,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 2,Party Identifier.1,party2.identifier,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 2,BIC.1,party2.bic,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 2,Proprietary Identification.2,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 2,Proprietary Scheme Name.2,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 2,Proprietary Issuer.2,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 2,Account Identification.1,party2.accountIdentification,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 2,Account Name.1,party2.accountName,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 3,Party Identifier.2,party3.identifier,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 3,BIC.2,party3.bic,PRIMARY_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 3,Proprietary Identification.3,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
DETAIL,23,SSI-002,Party 3,Proprietary Scheme Name.3,,EXTRA_FIELD,,,MATCH,YES,NO_RISK,0.818182,27,33,,,
